TimeStamp,Code
8644.5484,sw_20
8644.5497,sw_10
8644.5564,sw_0
8657.9918,sw_1
8664.0059,sw_11
8664.0068,sw_10
8664.0114,sw_0
8677.1279,sw_1
8683.1188,sw_11
8683.1197,sw_10
8683.1245,sw_0
8696.579,sw_1
8702.5736,sw_11
8702.5745,sw_10
8702.5777,sw_0
8714.8301,sw_1
8720.8342,sw_11
8720.8351,sw_10
8720.8397,sw_0
8733.0132,sw_1
8739.0132,sw_11
8739.0141,sw_10
8739.0019,sw_0
8751.4104,sw_1
8757.4066,sw_11
8757.4076,sw_10
8757.4121,sw_0
8770.5519,sw_1
8776.5348,sw_11
8776.5357,sw_10
8776.5402,sw_0
8790.4736,sw_1
8796.4475,sw_11
8796.4485,sw_10
8796.4604,sw_0
8810.2132,sw_1
8816.2161,sw_11
8816.2169,sw_10
8816.2213,sw_0
8829.9361,sw_1
8835.9508,sw_11
8839.0867,sw_50
